,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull
0,0_0,branin,95.29409826739558,0.0,0,10000,95.29409826739558
1,1_0,branin,135.45974317172954,0.0,1,10000,135.45974317172954
2,2_0,branin,17.66780359825848,0.0,2,10000,17.66780359825848
3,3_0,branin,44.055405828699634,0.0,3,10000,44.055405828699634
4,4_0,branin,38.719724050405645,0.0,4,10000,38.719724050405645
5,5_0,branin,7.934550875751994,0.0,5,10000,7.934550875751994
6,6_0,branin,1.0179548464166803,0.0,6,10000,1.0179548464166803
7,7_0,branin,0.7177910356387596,0.0,7,10000,0.7177910356387596
8,8_0,branin,5.403631318314965,0.0,8,10000,5.403631318314965
9,9_0,branin,1.041398058204683,0.0,9,10000,1.041398058204683
