,arm_name,metric_name,mean,sem,trial_index,n,frac_nonnull
0,0_0,branin,6.272058930169404,0.0,0,10000,6.272058930169404
1,1_0,branin,11.887898609891517,0.0,1,10000,11.887898609891517
2,2_0,branin,18.680386808929697,0.0,2,10000,18.680386808929697
3,3_0,branin,195.67684005404715,0.0,3,10000,195.67684005404715
4,4_0,branin,28.096436804135976,0.0,4,10000,28.096436804135976
5,5_0,branin,108.65081644281877,0.0,5,10000,108.65081644281877
6,6_0,branin,10.879968585508731,0.0,6,10000,10.879968585508731
7,7_0,branin,16.861013659907663,0.0,7,10000,16.861013659907663
8,8_0,branin,26.22778415075311,0.0,8,10000,26.22778415075311
9,9_0,branin,5.8918366326486495,0.0,9,10000,5.8918366326486495
