,bench_prior,wins,scores,fidelity,zone,benchmark,prior
84,B-6_at25,1.0,-0.014,4.0,1_6,B-6,at25
85,B-8_at25,1.0,-0.148,4.0,1_6,B-8,at25
86,B-11_at25,1.0,-0.101,4.0,1_6,B-11,at25
87,B-1_at25,0.0,0.0,4.0,1_6,B-1,at25
88,B-0_at25,-1.0,0.022,4.0,1_6,B-0,at25
89,B-9_at25,1.0,-0.005,4.0,1_6,B-9,at25
90,B-5_at25,1.0,-0.054,4.0,1_6,B-5,at25
91,B-10_at25,1.0,-0.013,4.0,1_6,B-10,at25
92,B-3_at25,1.0,-0.011,4.0,1_6,B-3,at25
93,B-4_at25,0.0,0.0,4.0,1_6,B-4,at25
94,B-7_at25,0.0,0.0,4.0,1_6,B-7,at25
95,B-2_at25,0.0,0.0,4.0,1_6,B-2,at25
96,B-0_bad,0.0,0.0,5.0,1_6,B-0,bad
97,B-1_bad,-1.0,0.009,5.0,1_6,B-1,bad
98,B-2_bad,-1.0,0.041,5.0,1_6,B-2,bad
99,B-3_bad,0.0,0.0,5.0,1_6,B-3,bad
100,B-4_bad,-1.0,0.016,5.0,1_6,B-4,bad
101,B-5_bad,-1.0,0.037,5.0,1_6,B-5,bad
102,B-6_bad,0.0,0.0,5.0,1_6,B-6,bad
103,B-7_bad,-1.0,0.032,5.0,1_6,B-7,bad
104,B-8_bad,-1.0,0.161,5.0,1_6,B-8,bad
105,B-9_bad,0.0,0.0,5.0,1_6,B-9,bad
106,B-10_bad,0.0,0.0,5.0,1_6,B-10,bad
107,B-11_bad,0.0,0.0,5.0,1_6,B-11,bad
108,B-6_at25,1.0,-0.014,5.0,1_6,B-6,at25
109,B-8_at25,1.0,-0.124,5.0,1_6,B-8,at25
110,B-11_at25,1.0,-0.094,5.0,1_6,B-11,at25
111,B-1_at25,0.0,0.0,5.0,1_6,B-1,at25
112,B-0_at25,0.0,0.0,5.0,1_6,B-0,at25
113,B-9_at25,1.0,-0.005,5.0,1_6,B-9,at25
114,B-5_at25,1.0,-0.051,5.0,1_6,B-5,at25
115,B-10_at25,1.0,-0.012,5.0,1_6,B-10,at25
116,B-3_at25,0.0,0.0,5.0,1_6,B-3,at25
117,B-4_at25,1.0,-0.013,5.0,1_6,B-4,at25
118,B-7_at25,0.0,0.0,5.0,1_6,B-7,at25
119,B-2_at25,0.0,0.0,5.0,1_6,B-2,at25
120,B-0_bad,0.0,0.0,6.0,6_12,B-0,bad
121,B-1_bad,-1.0,0.007,6.0,6_12,B-1,bad
122,B-2_bad,0.0,0.0,6.0,6_12,B-2,bad
